#node,Magenta Annotation
ABCF2,ATP binding cassette subfamily F member 2
RIPPLY3,Protein ripply3; Acts as a transcriptional corepressor. Negative regulator of the transcriptional activity of TBX1. Plays a role in the development of the pharyngeal apparatus and derivatives (By similarity); Belongs to the ripply family
RMI2,"RecQ-mediated genome instability protein 2; Essential component of the RMI complex, a complex that plays an important role in the processing of homologous recombination intermediates. It is required to regulate sister chromatid segregation and to limit DNA crossover. Essential for the stability, localization, and function of BLM, TOP3A, and complexes containing BLM. In the RMI complex, it is required to target BLM to chromatin and stress-induced nuclear foci and mitotic phosphorylation of BLM"
RNASEH2A,"Ribonuclease H2 subunit A; Catalytic subunit of RNase HII, an endonuclease that specifically degrades the RNA of RNA:DNA hybrids. Participates in DNA replication, possibly by mediating the removal of lagging- strand Okazaki fragment RNA primers during DNA replication. Mediates the excision of single ribonucleotides from DNA:RNA duplexes; Belongs to the RNase HII family. Eukaryotic subfamily"
RPA3,"Replication protein A 14 kDa subunit; As part of the heterotrimeric replication protein A complex (RPA/RP-A), binds and stabilizes single-stranded DNA intermediates that form during DNA replication or upon DNA stress. It prevents their reannealing and in parallel, recruits and activates different proteins and complexes involved in DNA metabolism. Thereby, it plays an essential role both in DNA replication and the cellular response to DNA damage. In the cellular response to DNA damage, the RPA complex controls DNA repair and DNA damage checkpoint activation. Through recruitment of ATRIP [...] "
RPP40,"Ribonuclease P protein subunit p40; Component of ribonuclease P, a protein complex that generates mature tRNA molecules by cleaving their 5'-ends"
RRM1,Ribonucleoside-diphosphate reductase large subunit; Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides
RRM2,Ribonucleoside-diphosphate reductase subunit M2; Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides. Inhibits Wnt signaling; Belongs to the ribonucleoside diphosphate reductase small chain family
RUVBL1,RuvB-like 1; May be able to bind plasminogen at cell surface and enhance plasminogen activation; AAA ATPases
SAPCD2,Suppressor APC domain-containing protein 2; Plays a role in planar mitotic spindle orientation in retinal progenitor cells (RPCs) and promotes the production of symmetric terminal divisions (By similarity). Negatively regulates the mitotic apical cortex localization of GPSM2. Involved also in positive regulation of cell proliferation and tumor cell growth
SBK1,Serine/threonine-protein kinase SBK1; May be involved in signal-transduction pathways related to the control of brain development
SCLT1,"Sodium channel and clathrin linker 1; Adapter protein that links SCN10A to clathrin. Regulates SCN10A channel activity, possibly by promoting channel internalization (By similarity)"
SDCBP,"Syntenin-1; Multifunctional adapter protein involved in diverse array of functions including trafficking of transmembrane proteins, neuro and immunomodulation, exosome biogenesis, and tumorigenesis. Positively regulates TGFB1- mediated SMAD2/3 activation and TGFB1-induced epithelial-to- mesenchymal transition (EMT) and cell migration in various cell types. May increase TGFB1 signaling by enhancing cell-surface expression of TGFR1 by preventing the interaction between TGFR1 and CAV1 and subsequent CAV1-dependent internalization and degradation of TGFR1. In concert with SDC1/4 and PDCD6I [...] "
SET,"Protein SET; Multitasking protein, involved in apoptosis, transcription, nucleosome assembly and histone chaperoning. Isoform 2 anti-apoptotic activity is mediated by inhibition of the GZMA-activated DNase, NME1. In the course of cytotoxic T- lymphocyte (CTL)-induced apoptosis, GZMA cleaves SET, disrupting its binding to NME1 and releasing NME1 inhibition. Isoform 1 and isoform 2 are potent inhibitors of protein phosphatase 2A. Isoform 1 and isoform 2 inhibit EP300/CREBBP and PCAF-mediated acetylation of histones (HAT) and nucleosomes, most probably by masking the accessibility of lysi [...] "
SETDB1,"Histone-lysine N-methyltransferase SETDB1; Histone methyltransferase that specifically trimethylates 'Lys-9' of histone H3. H3 'Lys-9' trimethylation represents a specific tag for epigenetic transcriptional repression by recruiting HP1 (CBX1, CBX3 and/or CBX5) proteins to methylated histones. Mainly functions in euchromatin regions, thereby playing a central role in the silencing of euchromatic genes. H3 'Lys-9' trimethylation is coordinated with DNA methylation. Probably forms a complex with MBD1 and ATF7IP that represses transcription and couples DNA methylation and histone 'Lys-9' t [...] "
SGOL1,"Shugoshin 1; Plays a central role in chromosome cohesion during mitosis by preventing premature dissociation of cohesin complex from centromeres after prophase, when most of cohesin complex dissociates from chromosomes arms. May act by preventing phosphorylation of the STAG2 subunit of cohesin complex at the centromere, ensuring cohesin persistence at centromere until cohesin cleavage by ESPL1/separase at anaphase. Essential for proper chromosome segregation during mitosis and this function requires interaction with PPP2R1A. Its phosphorylated form is necessary for chromosome congressi [...] "
SGOL2,"Shugoshin 2; Cooperates with PPP2CA to protect centromeric cohesin from separase-mediated cleavage in oocytes specifically during meiosis I. Has a crucial role in protecting REC8 at centromeres from cleavage by separase. During meiosis, protects centromeric cohesion complexes until metaphase II/anaphase II transition, preventing premature release of meiosis-specific REC8 cohesin complexes from anaphase I centromeres. Is thus essential for an accurate gametogenesis. May act by targeting PPP2CA to centromeres, thus leading to cohesin dephosphorylation (By similarity). Essential for recru [...] "
SHCBP1,"SHC SH2 domain-binding protein 1; May play a role in signaling pathways governing cellular proliferation, cell growth and differentiation. May be a component of a novel signaling pathway downstream of Shc. Acts as a positive regulator of FGF signaling in neural progenitor cells"
SHISA3,Protein shisa-3 homolog; Plays an essential role in the maturation of presomitic mesoderm cells by individual attenuation of both FGF and WNT signaling; Shisa family members
SHMT2,"Serine hydroxymethyltransferase, mitochondrial; Contributes to the de novo mitochondrial thymidylate biosynthesis pathway via its role in glycine and tetrahydrofolate metabolism. Thymidylate biosynthesis is required to prevent uracil accumulation in mtDNA. Interconversion of serine and glycine. Associates with mitochondrial DNA. Plays a role in the deubiquitination of target proteins as component of the BRISC complex. Required for IFNAR1 deubiquitination by the BRISC complex; Belongs to the SHMT family"
SHOX2,"Short stature homeobox protein 2; May be a growth regulator and have a role in specifying neural systems involved in processing somatosensory information, as well as in face and body structure formation; PRD class homeoboxes and pseudogenes"
SKA1,"Spindle and kinetochore-associated protein 1; Component of the SKA1 complex, a microtubule-binding subcomplex of the outer kinetochore that is essential for proper chromosome segregation. Required for timely anaphase onset during mitosis, when chromosomes undergo bipolar attachment on spindle microtubules leading to silencing of the spindle checkpoint. The SKA1 complex is a direct component of the kinetochore-microtubule interface and directly associates with microtubules as oligomeric assemblies. The complex facilitates the processive movement of microspheres along a microtubule in a  [...] "
SKA3,"Spindle and kinetochore-associated protein 3; Component of the SKA1 complex, a microtubule-binding subcomplex of the outer kinetochore that is essential for proper chromosome segregation. The SKA1 complex is a direct component of the kinetochore-microtubule interface and directly associates with microtubules as oligomeric assemblies. The complex facilitates the processive movement of microspheres along a microtubule in a depolymerization-coupled manner. In the complex, it mediates the microtubule-stimulated oligomerization. Affinity for microtubules is synergistically enhanced in the p [...] "
SLBP,"Histone RNA hairpin-binding protein; RNA-binding protein involved in the histone pre-mRNA processing. Binds the stem-loop structure of replication-dependent histone pre-mRNAs and contributes to efficient 3'-end processing by stabilizing the complex between histone pre-mRNA and U7 small nuclear ribonucleoprotein (snRNP), via the histone downstream element (HDE). Plays an important role in targeting mature histone mRNA from the nucleus to the cytoplasm and to the translation machinery. Stabilizes mature histone mRNA and could be involved in cell-cycle regulation of histone gene expressio [...] "
SLC19A2,Thiamine transporter 1; High-affinity transporter for the intake of thiamine; Solute carriers
SLC25A17,"Peroxisomal membrane protein PMP34; Peroxisomal transporter for multiple cofactors like coenzyme A (CoA), flavin adenine dinucleotide (FAD), flavin mononucleotide (FMN) and nucleotide adenosine monophosphate (AMP), and to a lesser extent for nicotinamide adenine dinucleotide (NAD(+)), adenosine diphosphate (ADP) and adenosine 3',5'- diphosphate (PAP). May catalyze the transport of free CoA, FAD and NAD(+) from the cytosol into the peroxisomal matrix by a counter- exchange mechanism. Inhibited by pyridoxal 5'-phosphate and bathophenanthroline in vitro; Belongs to the mitochondrial carri [...] "
SLC25A33,"Solute carrier family 25 member 33; Mitochondrial transporter that imports/exports pyrimidine nucleotides into and from mitochondria. Transports preferentially uracil, thymine, and cytosine (deoxy)nucleoside di- and triphosphates by an antiport mechanism. Also transports guanine but not adenine (deoxy)nucleotides. Is inhibited strongly by pyridoxal 5'-phosphate, 4,7-diphenyl-1,10- phenanthroline, tannic acid, and mercurials (mercury dichloride, mersalyl acid, p-hydroxymercuribenzoate). Participates in mitochondrial genome maintenance, regulation of mitochondrial membrane potential and  [...] "
SLC25A5,ADP/ATP translocase 2; Catalyzes the exchange of cytoplasmic ADP with mitochondrial ATP across the mitochondrial inner membrane. As part of the mitotic spindle-associated MMXD complex it may play a role in chromosome segregation; Solute carriers
SLC35B2,"Adenosine 3'-phospho 5'-phosphosulfate transporter 1; Mediates the transport of adenosine 3'-phospho 5'- phosphosulfate (PAPS), from cytosol into Golgi. PAPS is a universal sulfuryl donor for sulfation events that take place in the Golgi. May indirectly participate in activation of the NF- kappa-B and MAPK pathways; Solute carriers"
SLC5A6,"Sodium-dependent multivitamin transporter; Transports pantothenate, biotin and lipoate in the presence of sodium; Solute carriers"
SLC7A11,"Cystine/glutamate transporter; Sodium-independent, high-affinity exchange of anionic amino acids with high specificity for anionic form of cystine and glutamate; Belongs to the amino acid-polyamine-organocation (APC) superfamily. L-type amino acid transporter (LAT) (TC 2.A.3.8) family"
SMC4,"Structural maintenance of chromosomes protein 4; Central component of the condensin complex, a complex required for conversion of interphase chromatin into mitotic-like condense chromosomes. The condensin complex probably introduces positive supercoils into relaxed DNA in the presence of type I topoisomerases and converts nicked DNA into positive knotted forms in the presence of type II topoisomerases"
SNW1,"SNW domain-containing protein 1; Involved in transcriptional regulation. Modulates TGF- beta-mediated transcription via association with SMAD proteins, MYOD1-mediated transcription via association with PABPN1, RB1- mediated transcriptional repression, and retinoid-X receptor (RXR)- and vitamin D receptor (VDR)-dependent gene transcription in a cell line-specific manner probably involving coactivators NCOA1 and GRIP1. Is involved in NOTCH1-mediated transcriptional activation. Binds to multimerized forms of Notch intracellular domain (NICD) and is proposed to recruit transcriptional coac [...] "
SOX11,Transcription factor SOX-11; Transcriptional factor involved in the embryonic neurogenesis. May also have a role in tissue modeling during development; SRY-boxes
SPAG5,"Sperm-associated antigen 5; Essential component of the mitotic spindle required for normal chromosome segregation and progression into anaphase. Required for chromosome alignment, normal timing of sister chromatid segregation, and maintenance of spindle pole architecture. In complex with SKAP, promotes stable microtubule-kinetochore attachments. May contribute to the regulation of separase activity. May regulate AURKA localization to mitotic spindle, but not to centrosomes and CCNB1 localization to both mitotic spindle and centrosomes. Involved in centriole duplication. Required for CD [...] "
SPC24,"Kinetochore protein Spc24; Acts as a component of the essential kinetochore- associated NDC80 complex, which is required for chromosome segregation and spindle checkpoint activity. Required for kinetochore integrity and the organization of stable microtubule binding sites in the outer plate of the kinetochore. The NDC80 complex synergistically enhances the affinity of the SKA1 complex for microtubules and may allow the NDC80 complex to track depolymerizing microtubules"
SPC25,"Kinetochore protein Spc25; Acts as a component of the essential kinetochore- associated NDC80 complex, which is required for chromosome segregation and spindle checkpoint activity. Required for kinetochore integrity and the organization of stable microtubule binding sites in the outer plate of the kinetochore. The NDC80 complex synergistically enhances the affinity of the SKA1 complex for microtubules and may allow the NDC80 complex to track depolymerizing microtubules; Belongs to the SPC25 family"
SPDL1,Protein Spindly; Required for the localization of dynein and dynactin to the mitotic kintochore. Dynein is believed to control the initial lateral interaction between the kinetochore and spindle microtubules and to facilitate the subsequent formation of end-on kinetochore-microtubule attachments mediated by the NDC80 complex. Also required for correct spindle orientation. Does not appear to be required for the removal of spindle assembly checkpoint (SAC) proteins from the kinetochore upon bipolar spindle attachment. Acts as an adapter protein linking the dynein motor complex to various [...] 
SQLE,Squalene monooxygenase; Catalyzes the first oxygenation step in sterol biosynthesis and is suggested to be one of the rate-limiting enzymes in this pathway; Belongs to the squalene monooxygenase family
SRCIN1,"SRC kinase signaling inhibitor 1; Acts as a negative regulator of SRC by activating CSK which inhibits SRC activity and downstream signaling, leading to impaired cell spreading and migration. Regulates dendritic spine morphology. Involved in calcium-dependent exocytosis. May play a role in neurotransmitter release or synapse maintenance"
SRPK1,"SRSF protein kinase 1; Serine/arginine-rich protein-specific kinase which specifically phosphorylates its substrates at serine residues located in regions rich in arginine/serine dipeptides, known as RS domains and is involved in the phosphorylation of SR splicing factors and the regulation of splicing. Plays a central role in the regulatory network for splicing, controlling the intranuclear distribution of splicing factors in interphase cells and the reorganization of nuclear speckles during mitosis. Can influence additional steps of mRNA maturation, as well as other cellular activiti [...] "
SRXN1,"Sulfiredoxin-1; Contributes to oxidative stress resistance by reducing cysteine-sulfinic acid formed under exposure to oxidants in the peroxiredoxins PRDX1, PRDX2, PRDX3 and PRDX4. Does not act on PRDX5 or PRDX6. May catalyze the reduction in a multi-step process by acting both as a specific phosphotransferase and a thioltransferase; Belongs to the sulfiredoxin family"
SSRP1,"FACT complex subunit SSRP1; Component of the FACT complex, a general chromatin factor that acts to reorganize nucleosomes. The FACT complex is involved in multiple processes that require DNA as a template such as mRNA elongation, DNA replication and DNA repair. During transcription elongation the FACT complex acts as a histone chaperone that both destabilizes and restores nucleosomal structure. It facilitates the passage of RNA polymerase II and transcription by promoting the dissociation of one histone H2A-H2B dimer from the nucleosome, then subsequently promotes the reestablishment o [...] "
STAU2,"Double-stranded RNA-binding protein Staufen homolog 2; RNA-binding protein required for the microtubule- dependent transport of neuronal RNA from the cell body to the dendrite. As protein synthesis occurs within the dendrite, the localization of specific mRNAs to dendrites may be a prerequisite for neurite outgrowth and plasticity at sites distant from the cell body (By similarity)"
STIL,"SCL-interrupting locus protein; Immediate-early gene. Plays an important role in embryonic development as well as in cellular growth and proliferation; its long-term silencing affects cell survival and cell cycle distribution as well as decreases CDK1 activity correlated with reduced phosphorylation of CDK1. Plays a role as a positive regulator of the sonic hedgehog pathway, acting downstream of PTCH1. Plays an important role in the regulation of centriole duplication. Required for the onset of procentriole formation and proper mitotic progression. During procentriole formation, is ess [...] "
STIP1,Stress-induced-phosphoprotein 1; Acts as a co-chaperone for HSP90AA1. Mediates the association of the molecular chaperones HSPA8/HSC70 and HSP90 (By similarity); Tetratricopeptide repeat domain containing
STK3,"Serine/threonine-protein kinase 3; Stress-activated, pro-apoptotic kinase which, following caspase-cleavage, enters the nucleus and induces chromatin condensation followed by internucleosomal DNA fragmentation. Key component of the Hippo signaling pathway which plays a pivotal role in organ size control and tumor suppression by restricting proliferation and promoting apoptosis. The core of this pathway is composed of a kinase cascade wherein STK3/MST2 and STK4/MST1, in complex with its regulatory protein SAV1, phosphorylates and activates LATS1/2 in complex with its regulatory protein  [...] "
STMN1,Stathmin; Involved in the regulation of the microtubule (MT) filament system by destabilizing microtubules. Prevents assembly and promotes disassembly of microtubules. Phosphorylation at Ser- 16 may be required for axon formation during neurogenesis. Involved in the control of the learned and innate fear (By similarity); Belongs to the stathmin family
STX3,Syntaxin-3; Potentially involved in docking of synaptic vesicles at presynaptic active zones; Belongs to the syntaxin family
SUB1,"Activated RNA polymerase II transcriptional coactivator p15; General coactivator that functions cooperatively with TAFs and mediates functional interactions between upstream activators and the general transcriptional machinery. May be involved in stabilizing the multiprotein transcription complex. Binds single-stranded DNA. Also binds, in vitro, non-specifically to double-stranded DNA (ds DNA)"
TACC3,Transforming acidic coiled-coil-containing protein 3; Plays a role in the microtubule-dependent coupling of the nucleus and the centrosome. Involved in the processes that regulate centrosome-mediated interkinetic nuclear migration (INM) of neural progenitors (By similarity). Acts as component of the TACC3/ch-TOG/clathrin complex proposed to contribute to stabilization of kinetochore fibers of the mitotic spindle by acting as inter-microtubule bridge. The TACC3/ch-TOG/clathrin complex is required for the maintenance of kinetochore fiber tension. May be involved in the control of cell gr [...] 
TARS2,"Threonine--tRNA ligase, mitochondrial; Catalyzes the attachment of threonine to tRNA(Thr) in a two-step reaction: threonine is first activated by ATP to form Thr-AMP and then transferred to the acceptor end of tRNA(Thr). Also edits incorrectly charged tRNA(Thr) via its editing domain; Belongs to the class-II aminoacyl-tRNA synthetase family"
TBC1D31,TBC1 domain family member 31; WD repeat domain containing
TCF19,Transcription factor 19; Potential trans-activating factor that could play an important role in the transcription of genes required for the later stages of cell cycle progression; PHD finger proteins
TCP1,"T-complex protein 1 subunit alpha; Molecular chaperone; assists the folding of proteins upon ATP hydrolysis. As part of the BBS/CCT complex may play a role in the assembly of BBSome, a complex involved in ciliogenesis regulating transports vesicles to the cilia. Known to play a role, in vitro, in the folding of actin and tubulin; Belongs to the TCP-1 chaperonin family"
TDP1,"Tyrosyl-DNA phosphodiesterase 1; DNA repair enzyme that can remove a variety of covalent adducts from DNA through hydrolysis of a 3'-phosphodiester bond, giving rise to DNA with a free 3' phosphate. Catalyzes the hydrolysis of dead-end complexes between DNA and the topoisomerase I active site tyrosine residue. Hydrolyzes 3'-phosphoglycolates on protruding 3' ends on DNA double-strand breaks due to DNA damage by radiation and free radicals. Acts on blunt-ended double-strand DNA breaks and on single-stranded DNA. Has low 3'exonuclease activity and can remove a single nucleoside from the  [...] "
TEFM,"Transcription elongation factor, mitochondrial; Transcription elongation factor which increases mitochondrial RNA polymerase processivity. Regulates transcription of the mitochondrial genome, including genes important for the oxidative phosphorylation machinery; Belongs to the TEFM family"
TEX19,"Testis-expressed protein 19; Required during spermatogenesis and placenta development, participating in the repression of retrotransposable elements and prevent their mobilization. Collaborates with the Piwi-interacting RNA (piRNA) pathway, which mediates the repression of transposable elements during meiosis by forming complexes composed of piRNAs and Piwi proteins. Interacts with Piwi proteins and directly binds piRNAs, a class of 24 to 30 nucleotide RNAs that are generated by a Dicer-independent mechanism and are primarily derived from transposons and other repeated sequence element [...] "
TFB2M,"Dimethyladenosine transferase 2, mitochondrial; S-adenosyl-L-methionine-dependent methyltransferase which specifically dimethylates mitochondrial 12S rRNA at the conserved stem loop. Also required for basal transcription of mitochondrial DNA, probably via its interaction with POLRMT and TFAM. Stimulates transcription independently of the methyltransferase activity. Compared to TFB1M, it activates transcription of mitochondrial DNA more efficiently, while it has less methyltransferase activity; Seven-beta-strand methyltransferase motif containing"
THEM6,Protein THEM6; Thioesterase superfamily member 6
TICRR,Treslin; Regulator of DNA replication and S/M and G2/M checkpoints. Regulates the triggering of DNA replication initiation via its interaction with TOPBP1 by participating in CDK2-mediated loading of CDC45L onto replication origins. Required for the transition from pre-replication complex (pre-RC) to pre- initiation complex (pre-IC). Required to prevent mitotic entry after treatment with ionizing radiation; Belongs to the treslin family
TIMELESS,"Protein timeless homolog; Plays an important role in the control of DNA replication, maintenance of replication fork stability, maintenance of genome stability throughout normal DNA replication and in the regulation of the circadian clock. Involved in the determination of period length and in the DNA damage-dependent phase advancing of the circadian clock. Negatively regulates CLOCK|NPAS2-ARTNL/BMAL1|ARTNL2/BMAL2-induced transactivation of PER1 possibly via translocation of PER1 into the nucleus. Forms a complex with TIPIN and this complex regulates DNA replication processes under both [...] "
TIMM8A,Mitochondrial import inner membrane translocase subunit Tim8 A; Mitochondrial intermembrane chaperone that participates in the import and insertion of some multi-pass transmembrane proteins into the mitochondrial inner membrane. Also required for the transfer of beta-barrel precursors from the TOM complex to the sorting and assembly machinery (SAM complex) of the outer membrane. Acts as a chaperone-like protein that protects the hydrophobic precursors from aggregation and guide them through the mitochondrial intermembrane space. The TIMM8-TIMM13 complex mediates the import of proteins  [...] 
TIPIN,"TIMELESS-interacting protein; Plays an important role in the control of DNA replication and the maintenance of replication fork stability. Important for cell survival after DNA damage or replication stress. May be specifically required for the ATR-CHEK1 pathway in the replication checkpoint induced by hydroxyurea or ultraviolet light. Forms a complex with TIMELESS and this complex regulates DNA replication processes under both normal and stress conditions, stabilizes replication forks and influences both CHEK1 phosphorylation and the intra-S phase checkpoint in response to genotoxic st [...] "
TIPRL,TIP41-like protein; May be a allosteric regulator of serine/threonine- protein phosphatase 2A (PP2A). Isoform 1 inhibits catalytic activity of the PP2A(D) core complex in vitro. The PP2A(C):TIPRL complex does not show phosphatase activity. Acts as negative regulator of serine/threonine-protein phosphatase 4 probably by inhibiting the formation of the active PPP4C:PPP4R2 complex; the function is proposed to implicate it in DNA damage response by promoting H2AFX phosphorylated on Ser-140 (gamma-H2AFX). May play a role in the regulation of ATM/ATR signaling pathway controlling DNA replica [...] 
TK1,"Thymidine kinase, cytosolic; Thymidine kinase 1; Belongs to the thymidine kinase family"
TMA16,Translation machinery associated 16 homolog
TMEM106C,Transmembrane protein 106C
TMEM132A,Transmembrane protein 132A; May play a role in embryonic and postnatal development of the brain. Increased resistance to cell death induced by serum starvation in cultured cells. Regulates cAMP-induced GFAP gene expression via STAT3 phosphorylation (By similarity); Belongs to the TMEM132 family
TMEM241,Transmembrane protein 241
TMEM5,"UDP-D-xylose:ribitol-5-phosphate beta1,4-xylosyltransferase; UDP-xylosyltransferase involved in the biosynthesis of the phosphorylated O-mannosyl trisaccharide (N- acetylgalactosamine-beta-3-N-acetylglucosamine-beta-4-(phosphate- 6-)mannose), a carbohydrate structure present in alpha- dystroglycan (DAG1), which is required for binding laminin G-like domain-containing extracellular proteins with high affinity. Acts as a UDP-D-xylose:ribitol-5-phosphate beta1,4-xylosyltransferase, which catalyzes the transfer of UDP-D- xylose to ribitol 5-phosphate (Rbo5P) to form the Xylbeta1-4Rbo5P lin [...] "
TMEM97,"Sigma intracellular receptor 2; Intracellular orphan receptor that binds numerous drugs and which is highly expressed in various proliferating cancer cells. Corresponds to the sigma-2 receptor, which is thought to play important role in regulating cell survival, morphology and differentiation. Under investigation for its potential diagnostic and therapeutic uses. May play a role as a regulator of cellular cholesterol homeostasis. May function as sterol isomerase. May alter the activity of some cytochrome P450 proteins"
TMPO,"Lamina-associated polypeptide 2, isoform alpha; May be involved in the structural organization of the nucleus and in the post-mitotic nuclear assembly. Plays an important role, together with LMNA, in the nuclear anchorage of RB1; Belongs to the LEM family"
TOMM70A,Mitochondrial import receptor subunit TOM70; Receptor that accelerates the import of all mitochondrial precursor proteins
TONSL,"Tonsoku-like protein; Component of the MMS22L-TONSL complex, a complex that stimulates the recombination-dependent repair of stalled or collapsed replication forks. The MMS22L-TONSL complex is required to maintain genome integrity during DNA replication by promoting homologous recombination-mediated repair of replication fork- associated double-strand breaks. It may act by mediating the assembly of RAD51 filaments on ssDNA. Within the complex, may act as a scaffold; Ankyrin repeat domain containing"
TOP2A,DNA topoisomerase 2-alpha; Control of topological states of DNA by transient breakage and subsequent rejoining of DNA strands. Topoisomerase II makes double-strand breaks. Essential during mitosis and meiosis for proper segregation of daughter chromosomes. May play a role in regulating the period length of ARNTL/BMAL1 transcriptional oscillation (By similarity); Topoisomerases
TPM3,"Tropomyosin alpha-3 chain; Binds to actin filaments in muscle and non-muscle cells. Plays a central role, in association with the troponin complex, in the calcium dependent regulation of vertebrate striated muscle contraction. Smooth muscle contraction is regulated by interaction with caldesmon. In non-muscle cells is implicated in stabilizing cytoskeleton actin filaments; Belongs to the tropomyosin family"
TPX2,"Targeting protein for Xklp2; Spindle assembly factor required for normal assembly of mitotic spindles. Required for normal assembly of microtubules during apoptosis. Required for chromatin and/or kinetochore dependent microtubule nucleation. Mediates AURKA localization to spindle microtubules. Activates AURKA by promoting its autophosphorylation at 'Thr-288' and protects this residue against dephosphorylation. TPX2 is inactivated upon binding to importin- alpha. At the onset of mitosis, GOLGA2 interacts with importin-alpha, liberating TPX2 from importin-alpha, allowing TPX2 to activate [...] "
TRAF7,"E3 ubiquitin-protein ligase TRAF7; E3 ubiquitin ligase capable of auto-ubiquitination, following phosphorylation by MAP3K3. Potentiates MEKK3-mediated activation of the NF-kappa-B, JUN/AP1 and DDIT3 transcriptional regulators. Induces apoptosis when overexpressed; Belongs to the WD repeat TRAF7 family"
TRAIP,E3 ubiquitin-protein ligase TRAIP; E3 ubiquitin ligase acting as a negative regulator of innate immune signaling. Inhibits activation of NF-kappa-B mediated by TNF. Negatively regulates TLR3/4- and RIG-I-mediated IRF3 activation and subsequent IFNB1 production and cellular antiviral response by promoting 'Lys-48'-linked polyubiquitination of TNK1 leading to its proteasomal degradation (By similarity). Involved in response to genotoxic lesions during genome replication. Promotes H2AX and RPA2 phosphorylation after replication-associated DNA damage and assists fork progression at UV-indu [...] 
TRIB3,Tribbles homolog 3; Disrupts insulin signaling by binding directly to Akt kinases and blocking their activation. May bind directly to and mask the 'Thr-308' phosphorylation site in AKT1. Binds to ATF4 and inhibits its transcriptional activation activity. Interacts with the NF-kappa-B transactivator p65 RELA and inhibits its phosphorylation and thus its transcriptional activation activity. Interacts with MAPK kinases and regulates activation of MAP kinases. May play a role in programmed neuronal cell death but does not appear to affect non-neuronal cells. Does not display kinase activit [...] 
TRIM59,Tripartite motif-containing protein 59; May serve as a multifunctional regulator for innate immune signaling pathways; Ring finger proteins
TRIP13,"Pachytene checkpoint protein 2 homolog; Plays a key role in chromosome recombination and chromosome structure development during meiosis. Required at early steps in meiotic recombination that leads to non-crossovers pathways. Also needed for efficient completion of homologous synapsis by influencing crossover distribution along the chromosomes affecting both crossovers and non-crossovers pathways. Also required for development of higher-order chromosome structures and is needed for synaptonemal-complex formation. In males, required for efficient synapsis of the sex chromosomes and for  [...] "
TRMT10A,tRNA methyltransferase 10 homolog A; S-adenosyl-L-methionine-dependent guanine N(1)- methyltransferase that catalyzes the formation of N(1)- methylguanine at position 9 (m1G9) in tRNAs. Probably not able to catalyze formation of N(1)- methyladenine at position 9 (m1A9) in tRNAs; Belongs to the class IV-like SAM-binding methyltransferase superfamily. TRM10 family
TRMT10C,"tRNA methyltransferase 10 homolog C; Mitochondrial tRNA N(1)-methyltransferase involved in mitochondrial tRNA maturation. Component of mitochondrial ribonuclease P, a complex composed of TRMT10C/MRPP1, HSD17B10/MRPP2 and MRPP3, which cleaves tRNA molecules in their 5'-ends. Together with HSD17B10/MRPP2, forms a subcomplex of the mitochondrial ribonuclease P, named MRPP1-MRPP2 subcomplex, which displays functions that are independent of the ribonuclease P activity. The MRPP1-MRPP2 subcomplex catalyzes the formation of N(1)- methylguanine and N(1)-methyladenine at position 9 (m1G9 and m1 [...] "
TRMT12,tRNA wybutosine-synthesizing protein 2 homolog; S-adenosyl-L-methionine-dependent transferase that acts as a component of the wybutosine biosynthesis pathway. Wybutosine is a hyper modified guanosine with a tricyclic base found at the 3'-position adjacent to the anticodon of eukaryotic phenylalanine tRNA. Catalyzes the transfer of the alpha-amino-alpha- carboxypropyl (acp) group from S-adenosyl-L-methionine to the C-7 position of 4-demethylwyosine (imG-14) to produce wybutosine-86; Belongs to the class I-like SAM-binding methyltransferase superfamily. TRM5/TYW2 family
TROAP,Tastin; Could be involved with bystin and trophinin in a cell adhesion molecule complex that mediates an initial attachment of the blastocyst to uterine epithelial cells at the time of the embryo implantation
TSG101,"Tumor susceptibility gene 101 protein; Component of the ESCRT-I complex, a regulator of vesicular trafficking process. Binds to ubiquitinated cargo proteins and is required for the sorting of endocytic ubiquitinated cargos into multivesicular bodies (MVBs). Mediates the association between the ESCRT-0 and ESCRT-I complex. Required for completion of cytokinesis; the function requires CEP55. May be involved in cell growth and differentiation. Acts as a negative growth regulator. Involved in the budding of many viruses through an interaction with viral proteins that contain a late-budding [...] "
TSPAN13,Tetraspanin-13; Tetraspanin 13; Tetraspanins
TTC13,Tetratricopeptide repeat domain containing
TTC9C,Tetratricopeptide repeat domain containing; Belongs to the TTC9 family
TTK,"Dual specificity protein kinase TTK; Phosphorylates proteins on serine, threonine, and tyrosine. Probably associated with cell proliferation. Essential for chromosome alignment by enhancing AURKB activity (via direct CDCA8 phosphorylation) at the centromere, and for the mitotic checkpoint"
TTL,Tubulin--tyrosine ligase; Catalyzes the post-translational addition of a tyrosine to the C-terminal end of detyrosinated alpha-tubulin
